"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4700012207031","","","","","","","","99.8199996948242","","99.8399963378906","99.8499984741211","99.8600006103516","99.8499984741211","99.870002746582","99.8600006103516","99.8600006103516","99.8600006103516","99.8600006103516","","99.870002746582","","","","99.8399963378906","","",
"Burundi","BDI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","34.2599983215332","","","","","","","","","","","48.2400016784668","","","","","","","","","","67.3099975585938","","","","","","","","53.1300010681152","","","","","","69.129997253418","","73.3000030517578","76.3000030517578","","","78.1656333672969","","","","","",
"Belgium","BEL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","25.1900005340576","","","","","","","","","","","","","39.9000015258789","","","","","","","","","","47.8699989318848","","","","","","","","","47.1927131129603","","56.7900009155273","","","","51.0499992370605","","61.4199981689453","","56.4599990844727","62.6199989318848","","","",
"Burkina Faso","BFA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","14.5299997329712","","","","","","","","","","","","","","","","19.6299991607666","","","","","18.5200004577637","","","","","","","29.3600006103516","","31.3700008392334","29.7099990844727","36.6199989318848","","","","","","","44.3800010681152","","","","49.1699981689453","35.4099998474121","","44.1199989318848","49.7799987792969","48.4383090058016","","",
"Bangladesh","BGD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","39.7299995422363","","","","","","","","","","44.310001373291","","","","","","","","","","53.9000015258789","","","","","","","","","","62.4799995422363","61.5400009155273","64.2099990844727","64.370002746582","68.0599975585938","75.620002746582","75.6999969482422","76.6699981689453","77.4400024414062","77.8199996948242","79.2099990844727","81.3899993896484","","","",
"Bulgaria","BGR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7399978637695","","","","","","","","","","98.75","","","","","","","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","76.5199966430664","","","","","","","","","","88.5400009155273","","","","","","","","","","88.5500030517578","","","","","","","","","","","","","","","","","","","","","98.8300018310547","98.7099990844727","98.6699981689453","",
"Bahamas, The","BHS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.3099975585938","","","","","","","","","99.0299987792969","","","","","","","","","","","","","99.1800003051758","","","","","","","","","","","","",
"Belarus","BLR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.379997253418","","","","","","","","","","99.7900009155273","","","","","","","","","","99.7600021362305","","","","","","","","","","99.870002746582","","","","","","",
"Belize","BLZ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2699966430664","","","","","","","","","76.6800003051758","","","","","","","","","","","","","","","90.1600036621094","","","","","","","87.879997253418","","","",
